idfrom;from;idto;to;perc_lig;ia
2602209;Bom Jardim;2608107;João Alfredo;0.02;782.64
2602209;Bom Jardim;2604106;Caruaru;0.0133333333;521.76
2602209;Bom Jardim;2603454;Camaragibe;0.0037453184;146.5617977528
2602209;Bom Jardim;2608453;Lagoa do Carro;0.0033367382;130.573237998
2602209;Bom Jardim;2610608;Paudalho;0.0033367382;130.573237998
2602308;Bonito;2604106;Caruaru;0.5781833699;22058.8519287979
2602308;Bonito;2611606;Recife;0.3166666667;12081.4666666667
2602308;Bonito;2603504;Camocim de São Félix;0.0282370154;1077.2986100951
2602308;Bonito;2604205;Catende;0.0210680322;803.7875640088
2602308;Bonito;2601904;Bezerros;0.0194586686;742.3871250914
2602308;Bonito;2612000;Sairé;0.0163862473;625.1681053402
2602308;Bonito;2612455;Santa Cruz;0.0066666667;254.3466666667
2602308;Bonito;2615409;Toritama;0.0033333333;127.1733333333
2602308;Bonito;2616407;Vitória de Santo Antão;0.0033333333;127.1733333333
2602407;Brejão;2606002;Garanhuns;0.6671023965;6003.2544662309
2602407;Brejão;2611606;Recife;0.1740740741;1566.4925925926
2602407;Brejão;2604106;Caruaru;0.0407407407;366.6259259259
2602407;Brejão;2602100;Bom Conselho;0.0377708978;339.9003095975
2602407;Brejão;2615102;Terezinha;0.0342793258;308.4796525628
2602407;Brejão;2612307;Saloá;0.0055555556;49.9944444444
2602506;Brejinho;2611606;Recife;205;1534.63
2602506;Brejinho;2613602;São José do Egito;0.1688056126;1263.6788158795
2602506;Brejinho;2600104;Afogados da Ingazeira;0.0916666667;686.2166666667
2602506;Brejinho;2607703;Itapetim;0.0391307324;292.9326625599
2602506;Brejinho;2604106;Caruaru;25;187.15
2602506;Brejinho;2613909;Serra Talhada;25;187.15
2602506;Brejinho;2612505;Santa Cruz do Capibaribe;0.0116666667;87.3366666667
2602506;Brejinho;2601201;Arcoverde;0.01;74.86
2602506;Brejinho;2615904;Tuparetama;0.0066666667;49.9066666667
2602506;Brejinho;2614600;Tabira;5;37.43
2602506;Brejinho;2612802;Santa Terezinha;0.0033333333;24.9533333333
2602605;Brejo da Madre de Deus;2604106;Caruaru;0.5859359359;29442.6948448448
2602605;Brejo da Madre de Deus;2611606;Recife;0.2385185185;11985.317037037
2602605;Brejo da Madre de Deus;2612505;Santa Cruz do Capibaribe;0.0796296296;4001.3092592593
2602605;Brejo da Madre de Deus;2608008;Jataúba;0.0462862863;2325.8395995996
2602605;Brejo da Madre de Deus;2601706;Belo Jardim;0.03;1507.47
2602605;Brejo da Madre de Deus;2615409;Toritama;0.0140740741;707.2081481481
2602605;Brejo da Madre de Deus;2612455;Santa Cruz;0.0018518519;93.0537037037
2602704;Buenos Aires;2611606;Recife;0.3803668873;4990.0331940091
2602704;Buenos Aires;2604007;Carpina;0.2388888889;3133.9833333333
2602704;Buenos Aires;2609501;Nazaré da Mata;0.2188958551;2871.694723093
2602704;Buenos Aires;2616308;Vicência;0.0388888889;510.1833333333
2602704;Buenos Aires;2608909;Limoeiro;0.0351851852;461.5944444444
2602704;Buenos Aires;2615300;Timbaúba;0.0259259259;340.1222222222
2602704;Buenos Aires;2615508;Tracunhaém;0.0185185185;242.9444444444
2602704;Buenos Aires;2613701;São Lourenço da Mata;0.012962963;170.0611111111
2602704;Buenos Aires;2604106;Caruaru;0.0111111111;145.7666666667
2602704;Buenos Aires;2615409;Toritama;0.0111111111;145.7666666667
2602704;Buenos Aires;2603454;Camaragibe;0.0044409613;58.2609717868
2602704;Buenos Aires;2610608;Paudalho;0.0037037037;48.5888888889
2602803;Buíque;2601201;Arcoverde;0.513703133;29704.8836671803
2602803;Buíque;2611606;Recife;275;15901875
2602803;Buíque;2604106;Caruaru;0.0941602465;5444.8162557781
2602803;Buíque;2615805;Tupanatinga;0.0436466359;2523.8667180277
2602803;Buíque;2606002;Garanhuns;15;867375
2602803;Buíque;2607505;Itaíba;0.0110939908;641.5100154083
2602803;Buíque;2609154;Manari;0.0073959938;427.6733436055
2602803;Buíque;2615409;Toritama;0.0066666667;385.5
2602902;Cabo de Santo Agostinho;2611606;Recife;0.7266666667;149048.053333333
2602902;Cabo de Santo Agostinho;2607901;Jaboatão dos Guararapes;0.1333333333;27348.2666666666
2602902;Cabo de Santo Agostinho;2605202;Escada;0.0371209801;7613.9584686064
2602902;Cabo de Santo Agostinho;2611804;Ribeirão;0.0220673813;4526.2847166922
2602902;Cabo de Santo Agostinho;2607208;Ipojuca;0.0216666667;4444.0933333333
2602902;Cabo de Santo Agostinho;2616407;Vitória de Santo Antão;0.0183333333;3760.3866666667
2602902;Cabo de Santo Agostinho;2610004;Palmares;0.0177947933;3649.9256355283
2602902;Cabo de Santo Agostinho;2605905;Gameleira;0.0176875957;3627.9381316999
2602902;Cabo de Santo Agostinho;2614204;Sirinhaém;0.0053292496;1093.0930474732
2603009;Cabrobó;2611101;Petrolina;0.4806014363;16308.7291382406
2603009;Cabrobó;2612208;Salgueiro;0.2244254937;7615.6547037702
2603009;Cabrobó;2611606;Recife;0.09;3054.06
2603009;Cabrobó;2601607;Belém do São Francisco;0.0433333333;1470.4733333333
2603009;Cabrobó;2612604;Santa Maria da Boa Vista;0.018940754;642.7355475763
2603009;Cabrobó;2608750;Lagoa Grande;0.0142728905;484.3362657092
2603009;Cabrobó;2609808;Orocó;0.0117594255;399.0443447038
2603009;Cabrobó;2613909;Serra Talhada;0.0066666667;226.2266666667
2603009;Cabrobó;2604106;Caruaru;0.0033333333;113.1133333333
2603108;Cachoeirinha;2604106;Caruaru;0.5940392472;12034.0470698547
2603108;Cachoeirinha;2611606;Recife;0.2;4051.6
2603108;Cachoeirinha;2608800;Lajedo;0.0784173866;1588.5794186592
2603108;Cachoeirinha;2606002;Garanhuns;0.0527694059;1069.0026254102
2603108;Cachoeirinha;2614857;Tamandaré;0.0259259259;525.2074074074
2603108;Cachoeirinha;2601706;Belo Jardim;0.0148148148;300.1185185185
2603108;Cachoeirinha;2613107;São Caitano;0.014711004;298.0155180497
2603108;Cachoeirinha;2615409;Toritama;0.0074074074;150.0592592593
2603108;Cachoeirinha;2613404;São José da Coroa Grande;0.0037037037;75.0296296296
2603207;Caetés;2606002;Garanhuns;0.6262813897;17892.8593051256
2603207;Caetés;2611606;Recife;0.1462962963;4179.6851851852
2603207;Caetés;2601201;Arcoverde;0.0488418759;1395.4123953675
2603207;Caetés;2604106;Caruaru;0.0462962963;1322.6851851852
2603207;Caetés;2603801;Capoeiras;0.0259259259;740.7037037037
2603207;Caetés;2610806;Pedra;0.0189198486;540.5400756794
2603207;Caetés;2616001;Venturosa;0.0189198486;540.5400756794
2603207;Caetés;2612455;Santa Cruz;0.0018518519;52.9074074074
2603207;Caetés;2615409;Toritama;0.0018518519;52.9074074074
2603306;Calçado;2606002;Garanhuns;0.3158220982;3502.1512474818
2603306;Calçado;2608800;Lajedo;0.2683558035;2975.7975050364
2603306;Calçado;2611606;Recife;0.1444444444;1601.7444444444
2603306;Calçado;2604106;Caruaru;0.1351851852;1499.0685185185
2603306;Calçado;2608305;Jupi;0.0417480242;462.9438400744
2603306;Calçado;2601706;Belo Jardim;0.0203703704;225.887037037
2603306;Calçado;2603702;Canhotinho;0.0148148148;164.2814814815
2603306;Calçado;2613008;São Bento do Una;0.0148148148;164.2814814815
2603405;Calumbi;2613909;Serra Talhada;0.49766852;2863.0869954991
2603405;Calumbi;2611606;Recife;0.1866666667;1073.8933333333
2603405;Calumbi;2615706;Triunfo;0.0533333333;306.8266666667
2603405;Calumbi;2605608;Flores;0.0401840085;231.1786007413
2603405;Calumbi;2600104;Afogados da Ingazeira;0.0349285147;200.9437450357
2603405;Calumbi;2612208;Salgueiro;0.0173333333;99.7186666667
2603405;Calumbi;2604106;Caruaru;17;97801
2603405;Calumbi;2603900;Carnaíba;0.0151681228;87.2622107493
2603405;Calumbi;2601201;Arcoverde;12;69036
2603405;Calumbi;2602605;Brejo da Madre de Deus;0.0033333333;19.1766666667
2603405;Calumbi;2613503;São José do Belmonte;0.0033333333;19.1766666667
2603405;Calumbi;2615409;Toritama;0.0033333333;19.1766666667
2603405;Calumbi;2611101;Petrolina;0.0016666667;9.5883333333
2603405;Calumbi;2612505;Santa Cruz do Capibaribe;0.0016666667;9.5883333333
2603454;Camaragibe;2611606;Recife;0.81;126956.16
2603454;Camaragibe;2613701;São Lourenço da Mata;0.05;7836.8
2603454;Camaragibe;2604007;Carpina;0.0462178892;7244.007081399
